User_ID,Name,Age,Gender,Join_Date,Salary,Country,Email,Purchase_Amount,Last_Login,Subscription_Status
0001,N/A,?,Female,2022-13-01,NaN,NIG,sarah.connor@email.com,4811,2022-13-01,ACTIVE
0002,Emily Davis,?,female,2023/03/09,$40189,Nigeria,emily.davis@email.com,NaN,Apr 06 2024,Actve
0003,Sarah Connor,thirty,M,2022-13-01,abc,US,sarah.connor@email.com,334.02,Jun 06 2024,active
0004,Bob Gray,NaN,M,2022-08-03,abc,United States,bob.gray@mail.com,-21,2023/10/18,Active
0005,Emily Davis,,M,2022-13-01,abc,Nigeria,emily.davis@email.com,,2022-13-01,ACTIVE
0006,Tom Hardy,,Male,2024-02-13,abc,United States,tom.hardy@mail.com,-9,2022-13-01,Active
0007,Sarah Connor,168,M,Apr 25 2022,40365 NGN,USA,sarah.connor@mail.com,,2022-13-01,Actve
0008,David Kim,thirty,male,Jan 01 2022,31276,Nigeria,david.kim@email,127.33,2022-13-01,Inactive
0009,Chris O'Neil,NaN,male,12/06/2024,abc,UK,chris.oneil@mail.com,-86,08/04/2023,Inactive
0010,Mike Brown,?,male,2022-08-14,abc,USA,mike.brown@email.com,43.03,13/10/2022,Actve
0011,Chris O'Neil,,Female,Mar 14 2024,42478,US,chris.oneil@mail.com,-55,2022-02-25,ACTIVE
0012,Robert Brown,?,Female,04/07/2023,$57648,United Kingdom,robert.brown@email,8260,not available,Actve
0013,John Doe,?,F,13/05/2023,86665 NGN,USA,john.doe@email.com,-50,15/12/2023,Inactive
0014,Linda White,248,male,2022-03-04,NaN,Canada,linda.white@mail.com,460.5,2022-03-24,Actve
0015,Mike Brown,33,male,2022-13-01,35372 NGN,South Korea,mike.brown@email,,May 15 2022,active
0016,N/A,57,Male,2022-13-01,$47380,Nigeria,mike.brown@email.com,,2022-13-01,Actve
0017,John Doe,176,Male,2024/06/18,37564,South Korea,john.doe@email.com,NaN,2022-13-01,ACTIVE
0018,Michael Johnson,123,F,2024-04-29,30232 USD,United States,michael.johnson@mail.com,8239,2023-07-29,Active
0019,Chris O'Neil,thirty,Female,2023-03-17,50202 USD,USA,chris.oneil@email,NaN,2022-13-01,Inactive
0020,Emily Davis,,Male,Jul 03 2022,abc,UK,emily.davis@email,-90,29/05/2024,Inactive
0021,Bob Gray,?,Male,Nov 07 2023,51512 USD,US,bob.gray@email,7548,2022/01/29,Inactive
0022,N/A,NaN,female,Mar 16 2024,NaN,US,michael.johnson@email,450.76,2022/01/02,ACTIVE
0023,Mike Brown,180,Male,2022-13-01,abc,NIG,mike.brown@email,,2022-13-01,Actve
0024,Linda White,NaN,Female,Mar 17 2023,58952 NGN,UK,linda.white@mail.com,241.86,2023-11-11,Inactive
0025,Linda White,30,Male,2022-13-01,85688,Canada,linda.white@email,-74,2022-09-07,Active
0026,Alice Blue,,Male,2023-07-25,$59914,Canada,alice.blue@mail.com,-72,2022-13-01,ACTIVE
0027,Anna Lee,NaN,Female,2022-13-01,abc,UK,anna.lee@email,,24/11/2022,Inactive
0028,Emily Davis,27,F,2022-13-01,60534 NGN,USA,emily.davis@email.com,1320,2022/01/07,ACTIVE
0029,Alice Blue,thirty,Female,2023/05/15,58562 NGN,USA,alice.blue@email,,May 11 2022,Actve
0030,John Doe,,Female,Feb 21 2022,$51453,Canada,john.doe@email,-49,2022-03-25,Actve
0031,Jane Smith,157,Male,2024-03-10,$46205,USA,jane.smith@mail.com,84.67,2022/08/12,active
0032,Anna Lee,?,M,2022/04/21,abc,NIG,anna.lee@email,2245,2023-10-05,active
0033,Sarah Connor,NaN,male,2023-03-15,abc,Nigeria,sarah.connor@email.com,-63,13/10/2023,ACTIVE
0034,Anna Lee,thirty,male,Mar 04 2024,abc,United Kingdom,anna.lee@email,-12,2023/04/21,Active
0035,Eve Black,?,M,2024/03/27,NaN,United Kingdom,eve.black@mail.com,,May 16 2023,ACTIVE
0036,Bob Gray,?,F,2023/12/10,NaN,Nigeria,bob.gray@email,7971,2023/12/21,active
0037,Michael Johnson,NaN,Male,31/01/2024,abc,Canada,michael.johnson@email,9595,2022/04/13,Inactive
0038,Susan Green,?,M,2022-13-01,abc,United States,susan.green@mail.com,435.55,Apr 26 2023,active
0039,Anna Lee,34,Male,2023-02-15,abc,USA,anna.lee@email.com,83.11,2022-13-01,Actve
0040,Emily Davis,,M,2024/05/30,NaN,USA,emily.davis@mail.com,,25/03/2022,Inactive
0041,Kate Moss,,female,2023/09/01,$32139,United Kingdom,kate.moss@mail.com,,Mar 17 2024,Active
0042,Kate Moss,?,Male,2022/03/03,abc,United Kingdom,kate.moss@email,-89,May 28 2023,Active
0043,Jane Smith,thirty,M,27/01/2022,NaN,USA,jane.smith@mail.com,,2023/10/30,Inactive
0044,Alice Blue,,M,2023/02/23,73917,United States,alice.blue@email,-64,Jul 18 2023,Active
0045,Robert Brown,thirty,Male,Nov 05 2023,$33552,South Korea,robert.brown@email,315.09,2023/07/17,ACTIVE
0046,Eve Black,161,Female,2022-13-01,56738,UK,eve.black@email.com,-16,Oct 26 2022,ACTIVE
0047,Eve Black,,Female,2023-09-06,48104 NGN,Nigeria,eve.black@mail.com,NaN,17/08/2023,ACTIVE
0048,Kate Moss,thirty,F,12/04/2023,$75711,NIG,kate.moss@email.com,NaN,Dec 24 2023,Inactive
0049,Eve Black,thirty,M,Jun 09 2024,NaN,Canada,eve.black@email.com,364.0,2022-13-01,ACTIVE
0050,Mike Brown,,M,2022-13-01,NaN,US,mike.brown@email.com,319.27,Apr 11 2022,Inactive
0051,Linda White,20,M,Jan 03 2023,$39540,South Korea,linda.white@email,,not available,ACTIVE
0052,Emily Davis,?,F,Oct 16 2023,abc,USA,emily.davis@email,,not available,active
0053,Linda White,,M,Jul 23 2022,$36989,NIG,linda.white@mail.com,185.89,2023/11/06,Active
0054,Jane Smith,NaN,Female,14/09/2023,$71721,United Kingdom,jane.smith@mail.com,380.23,2023/10/24,ACTIVE
0055,Jane Smith,64,M,01/12/2022,$43159,South Korea,jane.smith@email,NaN,2023/05/09,Active
0056,Bob Gray,157,female,2022-13-01,53971,NIG,bob.gray@email.com,NaN,2022-13-01,ACTIVE
0057,Susan Green,32,male,2022-13-01,abc,US,susan.green@mail.com,-90,2022/02/16,ACTIVE
0058,Sarah Connor,,F,2022-13-01,abc,United States,sarah.connor@email,NaN,not available,active
0059,David Kim,33,female,2023-01-12,56092 USD,UK,david.kim@email.com,,2023-09-04,active
0060,Emily Davis,?,Male,2022-13-01,$44152,Nigeria,emily.davis@email.com,NaN,2022-13-01,active
0061,Anna Lee,19,M,2022-13-01,51218,United States,anna.lee@email,7897,Mar 07 2022,active
0062,Sam Wilson,?,male,Feb 14 2022,72161,USA,sam.wilson@email,-55,2023-03-31,active
0063,Chris O'Neil,thirty,female,2022-13-01,64770 USD,Canada,chris.oneil@mail.com,2874,Aug 09 2022,Inactive
0064,Alice Blue,,female,Apr 08 2022,abc,United Kingdom,alice.blue@email,477.26,not available,Active
0065,Mike Brown,?,male,2022-03-03,56922 USD,NIG,mike.brown@mail.com,NaN,04/06/2023,ACTIVE
0066,Emily Davis,NaN,Male,2022-13-01,44821 NGN,South Korea,emily.davis@mail.com,1430,2024-04-29,Inactive
0067,Michael Johnson,NaN,Male,2022-13-01,73079 NGN,US,michael.johnson@email.com,2503,2023/03/06,Inactive
0068,Susan Green,thirty,Male,23/02/2022,NaN,USA,susan.green@mail.com,-57,01/03/2023,Actve
0069,Sarah Connor,172,female,2022-13-01,73721 USD,USA,sarah.connor@email.com,203.68,2022/08/05,active
0070,Robert Brown,?,Female,2022-13-01,abc,Nigeria,robert.brown@email.com,-95,not available,Active
0071,Robert Brown,203,female,2023-03-04,56544,Nigeria,robert.brown@email.com,NaN,not available,Active
0072,Emily Davis,43,F,2024/06/10,44520 USD,United States,emily.davis@email.com,9693,2024/03/05,Inactive
0073,Emily Davis,?,male,06/06/2022,abc,Canada,emily.davis@email,8354,2023/10/02,Inactive
0074,Bob Gray,NaN,male,2022-13-01,34862 USD,Canada,bob.gray@email,28.43,2022-13-01,Actve
0075,Sam Wilson,241,Male,2023/04/06,69649 NGN,South Korea,sam.wilson@email.com,NaN,2022-03-28,Inactive
0076,Bob Gray,thirty,Female,2023/01/08,55389 NGN,Nigeria,bob.gray@mail.com,302.96,2023/07/26,active
0077,Chris O'Neil,NaN,M,03/11/2023,abc,US,chris.oneil@email,,Apr 28 2024,Actve
0078,N/A,?,M,24/02/2024,$44846,United States,susan.green@email.com,9317,2023/06/24,Actve
