User_ID,Name,Age,Gender,Join_Date,Salary,Country,Email,Purchase_Amount,Last_Login,Subscription_Status
1,,,Female,2022-01-13,,Nigeria,sarah.connor@email.com,4811.0,2022-01-13,Active
2,Emily Davis,,Female,2023-03-09,40189.0,Nigeria,emily.davis@email.com,,2024-04-06,Active
3,Sarah Connor,30.0,Male,2022-01-13,,United States,sarah.connor@email.com,334.02,2024-06-06,Active
4,Bob Gray,,Male,2022-08-03,,United States,bob.gray@mail.com,,2023-10-18,Active
5,Emily Davis,,Male,2022-01-13,,Nigeria,emily.davis@email.com,,2022-01-13,Active
6,Tom Hardy,,Male,2024-02-13,,United States,tom.hardy@mail.com,,2022-01-13,Active
7,Sarah Connor,,Male,2022-04-25,40365.0,United States,sarah.connor@mail.com,,2022-01-13,Active
8,David Kim,30.0,Male,2022-01-01,31276.0,Nigeria,,127.33,2022-01-13,Inactive
9,Chris O'Neil,,Male,2024-06-12,,United Kingdom,chris.oneil@mail.com,,2023-04-08,Inactive
10,Mike Brown,,Male,2022-08-14,,United States,mike.brown@email.com,43.03,2022-10-13,Active
11,Chris O'Neil,,Female,2024-03-14,42478.0,United States,chris.oneil@mail.com,,2022-02-25,Active
12,Robert Brown,,Female,2023-07-04,57648.0,United Kingdom,,8260.0,,Active
13,John Doe,,Female,2023-05-13,86665.0,United States,john.doe@email.com,,2023-12-15,Inactive
14,Linda White,,Male,2022-03-04,,Canada,linda.white@mail.com,460.5,2022-03-24,Active
15,Mike Brown,33.0,Male,2022-01-13,35372.0,South Korea,,,2022-05-15,Active
16,,57.0,Male,2022-01-13,47380.0,Nigeria,mike.brown@email.com,,2022-01-13,Active
17,John Doe,,Male,2024-06-18,37564.0,South Korea,john.doe@email.com,,2022-01-13,Active
18,Michael Johnson,,Female,2024-04-29,30232.0,United States,michael.johnson@mail.com,8239.0,2023-07-29,Active
19,Chris O'Neil,30.0,Female,2023-03-17,50202.0,United States,,,2022-01-13,Inactive
20,Emily Davis,,Male,2022-07-03,,United Kingdom,,,2024-05-29,Inactive
21,Bob Gray,,Male,2023-11-07,51512.0,United States,,7548.0,2022-01-29,Inactive
22,,,Female,2024-03-16,,United States,,450.76,2022-01-02,Active
23,Mike Brown,,Male,2022-01-13,,Nigeria,,,2022-01-13,Active
24,Linda White,,Female,2023-03-17,58952.0,United Kingdom,linda.white@mail.com,241.86,2023-11-11,Inactive
25,Linda White,30.0,Male,2022-01-13,85688.0,Canada,,,2022-09-07,Active
26,Alice Blue,,Male,2023-07-25,59914.0,Canada,alice.blue@mail.com,,2022-01-13,Active
27,Anna Lee,,Female,2022-01-13,,United Kingdom,,,2022-11-24,Inactive
28,Emily Davis,27.0,Female,2022-01-13,60534.0,United States,emily.davis@email.com,1320.0,2022-01-07,Active
29,Alice Blue,30.0,Female,2023-05-15,58562.0,United States,,,2022-05-11,Active
30,John Doe,,Female,2022-02-21,51453.0,Canada,,,2022-03-25,Active
31,Jane Smith,,Male,2024-03-10,46205.0,United States,jane.smith@mail.com,84.67,2022-08-12,Active
32,Anna Lee,,Male,2022-04-21,,Nigeria,,2245.0,2023-10-05,Active
33,Sarah Connor,,Male,2023-03-15,,Nigeria,sarah.connor@email.com,,2023-10-13,Active
34,Anna Lee,30.0,Male,2024-03-04,,United Kingdom,,,2023-04-21,Active
35,Eve Black,,Male,2024-03-27,,United Kingdom,eve.black@mail.com,,2023-05-16,Active
36,Bob Gray,,Female,2023-12-10,,Nigeria,,7971.0,2023-12-21,Active
37,Michael Johnson,,Male,2024-01-31,,Canada,,9595.0,2022-04-13,Inactive
38,Susan Green,,Male,2022-01-13,,United States,susan.green@mail.com,435.55,2023-04-26,Active
39,Anna Lee,34.0,Male,2023-02-15,,United States,anna.lee@email.com,83.11,2022-01-13,Active
40,Emily Davis,,Male,2024-05-30,,United States,emily.davis@mail.com,,2022-03-25,Inactive
41,Kate Moss,,Female,2023-09-01,32139.0,United Kingdom,kate.moss@mail.com,,2024-03-17,Active
42,Kate Moss,,Male,2022-03-03,,United Kingdom,,,2023-05-28,Active
43,Jane Smith,30.0,Male,2022-01-27,,United States,jane.smith@mail.com,,2023-10-30,Inactive
44,Alice Blue,,Male,2023-02-23,73917.0,United States,,,2023-07-18,Active
45,Robert Brown,30.0,Male,2023-11-05,33552.0,South Korea,,315.09,2023-07-17,Active
46,Eve Black,,Female,2022-01-13,56738.0,United Kingdom,eve.black@email.com,,2022-10-26,Active
47,Eve Black,,Female,2023-09-06,48104.0,Nigeria,eve.black@mail.com,,2023-08-17,Active
48,Kate Moss,30.0,Female,2023-04-12,75711.0,Nigeria,kate.moss@email.com,,2023-12-24,Inactive
49,Eve Black,30.0,Male,2024-06-09,,Canada,eve.black@email.com,364.0,2022-01-13,Active
50,Mike Brown,,Male,2022-01-13,,United States,mike.brown@email.com,319.27,2022-04-11,Inactive
51,Linda White,20.0,Male,2023-01-03,39540.0,South Korea,,,,Active
52,Emily Davis,,Female,2023-10-16,,United States,,,,Active
53,Linda White,,Male,2022-07-23,36989.0,Nigeria,linda.white@mail.com,185.89,2023-11-06,Active
54,Jane Smith,,Female,2023-09-14,71721.0,United Kingdom,jane.smith@mail.com,380.23,2023-10-24,Active
55,Jane Smith,64.0,Male,2022-12-01,43159.0,South Korea,,,2023-05-09,Active
56,Bob Gray,,Female,2022-01-13,53971.0,Nigeria,bob.gray@email.com,,2022-01-13,Active
57,Susan Green,32.0,Male,2022-01-13,,United States,susan.green@mail.com,,2022-02-16,Active
58,Sarah Connor,,Female,2022-01-13,,United States,,,,Active
59,David Kim,33.0,Female,2023-01-12,56092.0,United Kingdom,david.kim@email.com,,2023-09-04,Active
60,Emily Davis,,Male,2022-01-13,44152.0,Nigeria,emily.davis@email.com,,2022-01-13,Active
61,Anna Lee,19.0,Male,2022-01-13,51218.0,United States,,7897.0,2022-03-07,Active
62,Sam Wilson,,Male,2022-02-14,72161.0,United States,,,2023-03-31,Active
63,Chris O'Neil,30.0,Female,2022-01-13,64770.0,Canada,chris.oneil@mail.com,2874.0,2022-08-09,Inactive
64,Alice Blue,,Female,2022-04-08,,United Kingdom,,477.26,,Active
65,Mike Brown,,Male,2022-03-03,56922.0,Nigeria,mike.brown@mail.com,,2023-06-04,Active
